audio_file,duration,model,transcript,predicted_transcript,WER,execution_time
common_voice_en_40865211.mp3,5904,tiny,"With this transition to the big time, the band shortened their name to Stabilo."," With this transition to the big time, the band shorten their name to stay below.",0.214285714,2.062146902
common_voice_en_40865211.mp3,5904,tiny.en,"With this transition to the big time, the band shortened their name to Stabilo."," With this transition to the big time, the band shortened their name to stay below.",0.142857143,1.060497046
common_voice_en_40865211.mp3,5904,base,"With this transition to the big time, the band shortened their name to Stabilo."," With this transition to the big time, they ban short and are named to stay below.",0.571428571,2.281667948
common_voice_en_40865211.mp3,5904,base.en,"With this transition to the big time, the band shortened their name to Stabilo."," With this transition to the big time, they'd band shorten their name to stay below.",0.285714286,1.471210003
common_voice_en_40865211.mp3,5904,small,"With this transition to the big time, the band shortened their name to Stabilo."," With this transition to the big time, the band shorten their name to stay below.",0.214285714,6.986051083
common_voice_en_40865211.mp3,5904,small.en,"With this transition to the big time, the band shortened their name to Stabilo."," With this transition to the big time, the band shortened their name to stay below.",0.142857143,4.517329931
common_voice_en_40865212.mp3,5544,tiny,Local brothels recruited extra staff to cope with the increase in business., Local brothels recruited extra staff to cope with the increase in business.,0,1.246676922
common_voice_en_40865212.mp3,5544,tiny.en,Local brothels recruited extra staff to cope with the increase in business., Local brothels recruited extra staff to cope with the increase in business.,0,0.659690857
common_voice_en_40865212.mp3,5544,base,Local brothels recruited extra staff to cope with the increase in business., Local brothels recruited extra staff to cope with the increase in business.,0,2.038271904
common_voice_en_40865212.mp3,5544,base.en,Local brothels recruited extra staff to cope with the increase in business., Local brothels recruited extra staff to cope with the increase in business.,0,1.234233856
common_voice_en_40865212.mp3,5544,small,Local brothels recruited extra staff to cope with the increase in business., Local brothels recruited extra staff to cope with the increase in business.,0,6.345239878
common_voice_en_40865212.mp3,5544,small.en,Local brothels recruited extra staff to cope with the increase in business., Local brothels recruited extra staff to cope with the increase in business.,0,3.787289858
common_voice_en_40865213.mp3,5760,tiny,"With Fox on lead vocals, the threesome did two short tours in Europe."," with fox and lead vocals, the three SIMD T-shirt tours in Europe.",0.538461538,1.038975954
common_voice_en_40865213.mp3,5760,tiny.en,"With Fox on lead vocals, the threesome did two short tours in Europe."," With Fox on lead vocals, the three-sevented two-short tours in Europe.",0.307692308,0.68012023
common_voice_en_40865213.mp3,5760,base,"With Fox on lead vocals, the threesome did two short tours in Europe."," With Fox on lead vocals, the three-sympted T-Short Tours in Europe.",0.384615385,2.128520966
common_voice_en_40865213.mp3,5760,base.en,"With Fox on lead vocals, the threesome did two short tours in Europe."," With Fox on lead vocals, the 3-sim to 2-short tours in Europe.",0.307692308,1.22881484
common_voice_en_40865213.mp3,5760,small,"With Fox on lead vocals, the threesome did two short tours in Europe."," With Fox on lead vocals, the three scented two short tours in Europe.",0.153846154,6.357652903
common_voice_en_40865213.mp3,5760,small.en,"With Fox on lead vocals, the threesome did two short tours in Europe."," With Fox on lead vocals, the three simped to two short tours in Europe.",0.230769231,3.5898211
common_voice_en_40865214.mp3,5652,tiny,Miramax requested cuts be made and Christopher initially refused., Mairmax requested cuts be made in Christopher initially refused.,0.222222222,1.020302773
common_voice_en_40865214.mp3,5652,tiny.en,Miramax requested cuts be made and Christopher initially refused., Mirror Max requested cuts be made in Christopher initially refused.,0.333333333,0.611161947
common_voice_en_40865214.mp3,5652,base,Miramax requested cuts be made and Christopher initially refused., Mayor Max requested cuts be made in Christopher initially refused.,0.333333333,1.94889307
common_voice_en_40865214.mp3,5652,base.en,Miramax requested cuts be made and Christopher initially refused., Mayor Max requested cuts be made in Christopher initially refused.,0.333333333,1.169746161
common_voice_en_40865214.mp3,5652,small,Miramax requested cuts be made and Christopher initially refused., Mayor Max requested cuts be made and Christopher initially refused.,0.222222222,6.334682226
